127.0.0.1 - - [21/Nov/2023:15:53:30 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:31 +0700] "GET /new-jdbc/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:31 +0700] "GET /new-jdbc/trang-chu;jsessionid=55972A99C7BDA5032569F355750DAD9F HTTP/1.1" 200 8821
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:31 +0700] "GET /new-jdbc/template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:31 +0700] "GET /new-jdbc/template/web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:31 +0700] "GET /new-jdbc/template/web/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:31 +0700] "GET /new-jdbc/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:32 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:52 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 200 7464
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:52 +0700] "GET /new-jdbc/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:52 +0700] "GET /new-jdbc/template/admin/assets/css/ace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:52 +0700] "GET /new-jdbc/template/admin/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:52 +0700] "GET /new-jdbc/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:52 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:52 +0700] "GET /new-jdbc/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:52 +0700] "GET /new-jdbc/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:52 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:52 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:52 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:52 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:52 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:52 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:52 +0700] "GET /new-jdbc/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:52 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:52 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:53:52 +0700] "GET /new-jdbc/template/admin/assets/js/ace.min.js HTTP/1.1" 304 -
